Prod,Temp,RH
0.175,25,87
0.225,25,88
0.2125,25,89
0.175,25,90
0.1625,25,90
0.2125,25,89
0.275,25,90
0.35,25,90
0.2875,26,88
0.3125,27,82
0.375,30,75
0.45,32,65
0.4,33,59
0.35,34,55
0.375,33,59
0.375,26,87
0.3625,27,82
0.3375,29,72
0.3875,30,72
0.4375,29,74
0.5875,29,76
0.5375,30,73
0.4125,29,75
0.3875,29,77
0.4125,29,78
0.3125,28,79
0.375,28,81
0.375,27,83
0.425,27,83
0.4375,27,81
0.4625,27,80
0.525,27,80
0.5375,28,74
0.3875,29,70
0.3125,31,64
0.375,33,58
0.3375,34,51
0.3,35,49
0.3375,35,49
0.375,34,54
0.525,30,71
0.475,29,79
0.4125,30,72
0.4625,29,73
0.4125,30,70
0.3875,30,73
0.25,30,71
0.1875,30,72
0.1875,30,72
0.2125,30,75
0.1875,29,74
0.175,29,76
0.175,29,79
0.1375,29,81
0.1,29,82
0.0875,29,81
0.1,29,82
0.325,28,84
0.3625,29,82
0.4375,30,79
0.4125,30,75
0.2875,32,68
0.3,30,75
0.3125,30,80
0.3375,33,60
0.2625,33,61
0.2375,32,63
0.2,31,66
0.225,30,69
0.175,30,74
0.1625,30,76
0.175,29,77
0.15,29,77
0.1375,29,78
0.15,29,79
0.125,29,79
0.125,29,78
0.1,27,79
0.075,25,88
0.075,24,88
0.075,24,87
0.1125,26,87
0.2375,28,81
0.175,30,71
0.2,32,63
0.15,34,57
0.1625,34,52
0.175,34,52
0.2375,33,56
0.25,32,61
0.3125,33,58
0.1875,32,61
0.125,30,69
0.1125,29,71
0.15,24,86
0.15,24,88
0.1375,24,90
0.1375,24,91
0.15,25,91
0.1625,25,89
0.1375,25,88
0.15,25,89
0.1375,25,89
0.1125,25,90
0.2125,25,89
0.275,26,87
0.3125,27,86
0.2125,27,85
0.2625,29,77
0.225,30,72
0.1625,28,79
0.1375,28,80
0.15,29,75
0.125,30,72
0.1,31,61
0.1125,31,58
0.125,29,68
0.1375,29,72
0.15,29,70
0.1875,29,71
0.1625,29,73
0.15,29,75
0.1875,28,76
0.225,28,75
0.2125,27,77
0.2,27,77
0.1875,27,77
0.2125,27,76
0.275,27,75
0.25,28,71
0.275,29,66
0.2375,31,60
0.1875,32,56
0,33,54
0,33,52
0.0875,34,51
0.175,32,57
0.2125,31,63
0.2125,30,66
0.1625,30,69
0.175,28,82
0.2125,27,87
0.3125,26,91
0.1875,24,92
0.175,26,91
0.1625,25,93
0.1375,25,94
0.1625,25,94
0.1375,25,92
0.125,25,89
0.1125,25,91
0.1875,25,90
0.225,26,88
0.25,26,83
0.275,26,82
0.2875,26,85
0.35,28,80
0.225,30,69
0.175,31,66
0.2125,32,63
0.175,32,57
0.1625,32,55
0.1875,32,58
0.275,31,62
0.225,30,65
0.2625,30,67
0.2375,29,68
0.2375,27,78
0.2,25,88
0.2375,25,92
0.175,25,90
0.125,25,89
0.0875,25,89
0.1375,25,90
0.15,25,90
0.2,25,90
0.2875,25,88
0.325,26,85
0.225,27,80
0.225,28,77
0.2625,29,75
0.2375,29,72
0.275,28,77
0.275,24,91
0.1625,25,93
0.175,26,92
0.25,25,92
0.2125,24,92
0.275,25,90
0.3125,25,90
0.3625,25,90
0.375,25,90
0.3,25,89
0.275,25,89
0.275,25,91
0.175,25,91
0.1625,25,90
0.275,25,89
0.25,25,89
0.3,26,87
0.425,26,86
0.4375,27,81
0.35,28,74
0.3,30,68
0.2875,30,64
0.275,31,62
0.2375,32,55
0.2,33,53
0.1875,33,51
0.175,34,50
0.2125,33,50
0.25,32,53
0.225,32,56
0.2625,30,66
0.275,29,71
0.225,29,72
0.25,29,72
0.2375,29,72
0.2,26,81
0.1375,25,89
0.1,25,90
0.1,25,90
0.1,25,89
0.0875,26,88
0.1875,26,87
0.2625,26,86
0.2125,28,78
0.2125,29,73
0.25,30,67
0.1875,32,61
0.2125,32,58
0.1875,33,56
0.225,33,56
0.2375,33,52
0.2375,33,56
0.2375,29,72
0.275,25,89
0.2,24,92
0.175,25,90
0.2,25,88
0.2375,25,86
0.225,25,86
0.1875,25,86
0.15,25,85
0.1625,25,86
0.1875,26,85
0.2125,25,86
0.2,26,84
0.2875,26,83
0.2875,27,81
0.275,28,76
0.225,29,68
0.225,31,61
0.2375,32,56
0.1875,33,53
0.175,33,51
0.1625,33,51
0.1375,34,51
0.15,34,50
0.2125,33,53
0.225,32,56
0.3,32,58
0.35,31,60
0.4125,31,61
0.3875,30,67
0.3375,26,78
0.075,25,84
0.1,25,86
0.125,26,86
0.1,25,87
0.1,26,86
0.1375,26,85
0.1875,26,87
0.225,26,89
0.225,27,86
0.2875,29,75
0.3125,30,69
0.225,31,65
0.25,32,61
0.225,33,56
0.275,33,56
0.3375,31,64
0.3875,25,89
0.275,24,92
0.2125,26,91
0.35,26,90
0.3875,27,90
0.4375,27,89
0.5,27,88
0.4125,27,87
0.4125,27,84
0.275,26,82
0.175,26,84
0.1625,26,86
0.175,26,86
0.2375,26,86
0.325,27,84
0.35,27,80
0.3125,28,76
0.25,30,71
0.275,31,66
0.275,32,61
0.3625,33,55
0.325,34,52
0.35,30,65
0.325,25,89
0.2875,26,85
0.2,27,84
0.3125,27,82
0.4625,28,79
0.45,28,81
0.425,28,83
0.375,28,80
0.3125,27,81
0.225,26,84
0.2375,26,85
0.175,26,86
0.2,26,85
0.3,26,87
0.2125,26,87
0.225,26,86
0.275,28,77
0.3,30,69
0.2125,30,65
0.1875,32,61
0.1875,32,61
0.2,32,58
0.2375,32,59
0.2125,32,59
0.2125,31,62
0.2125,30,72
0.3,30,70
0.2625,29,72
0.275,29,75
0.225,25,91
0.1875,25,92
0.2,26,90
0.3,27,87
0.3125,26,88
0.2,27,88
0.2375,27,85
0.1875,26,86
0.2375,27,81
0.2375,26,82
0.2625,27,80
0.3375,27,78
0.325,28,73
0.2375,29,70
0.2,30,65
0.1625,31,60
0.15,32,57
0.2,33,54
0.2,34,50
0.1625,32,57
0.175,32,61
0.175,32,60
0.175,31,63
0.1875,30,66
0.2,30,71
0.1875,29,75
0.225,29,79
0.1875,29,72
0.1875,29,67
0.2125,29,69
0.1875,28,71
0.1375,28,72
0.125,27,72
0.1375,27,72
0.15,27,72
0.1875,28,71
0.1875,28,69
0.2,29,65
0.1875,30,61
0.2,32,56
0.2,32,56
0.2,33,53
0.2625,33,53
0.2625,34,51
0.225,34,53
0.2625,33,53
0.25,32,60
0.2125,31,65
0.2,30,68
0.2125,30,70
0.2,29,73
0.15,29,71
0.125,29,72
0.125,28,72
0.125,28,72
0.125,28,71
0.175,28,70
0.2125,28,70
